# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
restriction fragment detection evidence used in manual assertion	ECO:0001257	A type of restriction fragment detection evidence that is used in a manual assertion.	
spectrophotometry evidence used in manual assertion	ECO:0001258	A type of spectrophotometry evidence that is used in a manual assertion.	
syngeneic transplantation experiment evidence used in manual assertion	ECO:0001259	A type of syngeneic transplantation experiment evidence that is used in a manual assertion.	
xenotransplantation phenotypic evidence used in manual assertion	ECO:0001260	A type of xenotransplantation phenotypic evidence that is used in a manual assertion.	tissue grafting|xenograft transplantation evidence|xenografting evidence|xenotransplantation evidence|xenotransplantation experiment evidence used in manual assertion
WST-1 assay evidence used in manual assertion	ECO:0001261	A type of WST-1 assay evidence that is used in a manual assertion.	metabolic cell proliferation assay evidence
urine test evidence used in manual assertion	ECO:0001263	A type of urine test evidence that is used in a manual assertion.	
terminal deoxynucleotidyl transferase dUTP nick end labeling assay evidence used in manual assertion	ECO:0001264	A type of terminal deoxynucleotidyl transferase dUTP nick end labeling assay evidence assay evidence that is used in a manual assertion.	TdT-mediated dUTP-biotin nick end labeling assay evidence|terminal deoxynucleotidyl transferase-dUTP nick end labeling assay evidence|TUNEL assay evidence
tryptic phosphopeptide mapping assay evidence used in manual assertion	ECO:0001265	A type of tryptic phosphopeptide mapping assay evidence that is used in a manual assertion.	
transgenic organism evidence used in manual assertion	ECO:0001266	A type of transgenic organism evidence that is used in a manual assertion.	
tissue microarray evidence used in manual assertion	ECO:0001267	A type of tissue microarray evidence that is used in a manual assertion.	
TACE activity assay evidence used in manual assertion	ECO:0001268	A type of TACE activity assay evidence that is used in a manual assertion.	Tumor necrosis factor - alpha converting enzyme activity assay evidence
surface plasmon resonance evidence used in manual assertion	ECO:0001269	A type of surface plasmon resonance evidence that is used in a manual assertion.	SPR evidence
restriction landmark genomic scanning evidence used in manual assertion	ECO:0001270	A type of restriction landmark genome scanning evidence that is used in a manual assertion.	restriction landmark genome scanning evidence|RLGS evidence
resonant mirror biosensor evidence used in manual assertion	ECO:0001271	A type of resonant mirror biosensor evidence that is used in a manual assertion.	
high-performance liquid chromatography evidence used in manual assertion	ECO:0001272	A type of high-performance liquid chromatography evidence that is used in a manual assertion.	HPLC evidence
ectopic expression evidence used in manual assertion	ECO:0001273	A type of ectopic expression evidence that is used in a manual assertion.	analysis of overexpression/ectopic expression phenotype
small molecule detection assay evidence	ECO:0001522	A type of molecule detection assay evidence resulting from the detection and quantification of a small molecule (a low molecular weight (typically < 900 daltons) organic compound), such as lipids, sugars, animo acids, drugs, etc.	metabolite detection assay evidence
localization evidence	ECO:0001533	A type of direct assay evidence in which the sub-cellular location of a protein or nucleic acid sequence is determined.	
nucleic acid localization evidence	ECO:0001534	A type of localization evidence based on localization of a specific segment of DNA or RNA within tissue by the application of a complementary strand of nucleic acid to which a reporter molecule (i.e. either radio-, fluorescent- or antigen-labeled probe) is attached and quantified using either autoradiography, fluorescence microscopy, or immunohistochemistry.	
acetylation assay evidence	ECO:0001546	A type of direct assay evidence where acetylated residues are detected in a protein.	
cleavage assay evidence	ECO:0001547	A type of direct assay evidence where the cleavage of a protein into protein fragments by a protease is detected.	
deacetylation assay evidence	ECO:0001548	A type of direct assay evidence where the removal of acetyl groups are detected in a protein.	
defarnesylation assay evidence	ECO:0001549	A type of direct assay evidence where the removal of farnesyl groups from a protein is detected.	
demethylation assay evidence	ECO:0001550	A type of direct assay evidence where the removal of methyl groups from a substrate (RNA/DNA or protein) is detected.	
desumoylation assay evidence	ECO:0001551	A type of direct assay evidence where the removal of sumo groups from a protein is detected.	
deubiquitination assay evidence	ECO:0001552	A type of direct assay evidence where the removal of ubiquitin groups from a protein is detected.	
farnesylation assay evidence	ECO:0001553	A type of direct assay evidence where farnesylated residues in proteins are detected.	
methylation assay evidence	ECO:0001554	A type of direct assay evidence where methylated residues of a substarte (RNA/DNA or protein) are detected.	
palmitoylation assay evidence	ECO:0001555	A type of direct assay evidence where palmitoylated residues in a protein are detected.	
phosphatase assay evidence	ECO:0001556	A type of direct assay evidence where the removal of phosphatase groups from a protein is detected.	
polyADP-ribosylation assay evidence	ECO:0001557	A type of direct assay evidence where ADP-ribosylated residues in proteins are detected.	
protein kinase assay evidence	ECO:0001558	A type of enzymatic activity assay evidence that measures transfer of a phosphate to a peptide or protein substrate by a protein kinase.	
sumoylation assay evidence	ECO:0001559	A type of direct assay evidence where sumoylated residues on a protein are detected.	
single-cell RNA-sequencing evidence used in automatic assertion	ECO:000156	A type of single cell RNA-sequencing evidence that is used in automatic assertion.	
single-cell RNA-sequencing evidence	ECO:0001560	A type of RNA-sequencing evidence that uses a single cell as the source of the RNA.	scRNA-seq evidence
translation assay evidence	ECO:0001561	A type of direct assay evidence where de novo protein synthesis is detected.	
ubiquitination assay evidence	ECO:0001562	A type of direct assay evidence where ubiquitinated residues on a protein are detected.	
cell growth assay evidence	ECO:0001563	A type of direct assay evidence where biological cell development, i.e. an increase in cell mass and size are measured.	
cell-based assay evidence	ECO:0001565	A type of direct assay evidence resulting from the study of cells.	
quantitative reverse transcription polymerase chain reaction evidence	ECO:0001566	A type of reverse transcription polymerase chain reaction evidence that combines reverse transcription polymerase chain reaction and real time polymerase chain reaction to quantitatively assay for the detection of RNA levels.	qRT-PCR evidence|quantitative real-time RT-PCR evidence|quantitative RT-PCR evidence|real-time qRT-PCR evidence|real-time quantitative reverse transcription PCR evidence|real-time reverse transcription polymerase chain reaction evidence|real-time RT-PCR evidence|RRT-PCR evidence|rRT-PCR evidence|RT-qPCR evidence
quantitative reverse transcription polymerase chain reaction evidence used in manual assertion	ECO:0001567	A type of quantitative reverse transcription polymerase chain reaction evidence used in manual assertion.	
